Charlotte 49ers,CHAR
QB,Eric Rondall,35,2003,80,71,70,70,70,70,8.7,3
QB,Anthony Javan,23,2015,80,71,70,70,70,70,8.7,3
QB,Eric George,26,2013,80,71,70,70,70,70,8.7,3
RB,Kevin Tyronne,28,2011,80,71,70,70,70,70,8.7,3
RB,Tyree Vashan,35,2002,80,71,70,70,70,70,8.7,3
RB,George Tyree,23,2015,80,71,70,70,70,70,8.7,3
RB,Dick Charles,27,2011,80,71,70,70,70,70,8.7,3
WR,Tupac Tim,35,2004,80,71,70,70,70,70,8.7,3
WR,Rondall Spike,27,2011,80,71,70,70,70,70,8.7,3
WR,Dick Tyronne,24,2013,80,71,70,70,70,70,8.7,3
WR,Eric Wendell,24,2015,80,71,70,70,70,70,8.7,3
WR,Kobe Otis,24,2014,80,71,70,70,70,70,8.7,3
WR,Tyree Alwan,27,2011,80,71,70,70,70,70,8.7,3
OL,Alan Tre,32,2005,80,71,70,70,70,70,8.7,3
OL,Cordell Nguyen,28,2009,80,71,70,70,70,70,8.7,3
OL,Daniel Joseph,22,2015,80,71,70,70,70,70,8.7,3
OL,Jimmy Tyree,28,2011,80,71,70,70,70,70,8.7,3
OL,Derrick Quinton,29,2010,80,71,70,70,70,70,8.7,3
OL,Walter Kim,21,2016,80,71,70,70,70,70,8.7,3
OL,Marvin Clayton,21,2016,80,71,70,70,70,70,8.7,3
OL,Edward Dexter,22,2016,80,71,70,70,70,70,8.7,3
OL,Rondall Eric,30,2008,80,71,70,70,70,70,8.7,3
OL,Andre Damian,29,2009,80,71,70,70,70,70,8.7,3
K,Arthur Umar,36,2002,80,71,70,70,70,70,8.7,3
K,Johnson Samuel,28,2010,80,71,70,70,70,70,8.7,3
S,Shawnte Carl,29,2008,80,71,70,70,70,70,8.7,3
S,Orlando Roy,28,2011,80,71,70,70,70,70,8.7,3
CB,Lee Jose,33,2005,80,71,70,70,70,70,8.7,3
CB,Rondall Manning,30,2008,80,71,70,70,70,70,8.7,3
CB,Nate Hakeem,29,2010,80,71,70,70,70,70,8.7,3
CB,Jerry Omari,28,2011,80,71,70,70,70,70,8.7,3
CB,Kevin Tre,22,2016,80,71,70,70,70,70,8.7,3
CB,Ryan Myers,22,2016,80,71,70,70,70,70,8.7,3
DL,Thor Talin,29,2009,80,71,70,70,70,70,8.7,3
DL,Cordell Damian,22,2016,80,71,70,70,70,70,8.7,3
DL,Dennis Edward,25,2013,80,71,70,70,70,70,8.7,3
DL,Lamar Walter,25,2013,80,71,70,70,70,70,8.7,3
DL,Kendrick Michael,24,2013,80,71,70,70,70,70,8.7,3
DL,Tim Cordell,30,2008,80,71,70,70,70,70,8.7,3
DL,Myers Johnson,23,2015,80,71,70,70,70,70,8.7,3
DL,Jason Tre,24,2014,80,71,70,70,70,70,8.7,3
LB,Bobby Dick,30,2009,80,71,70,70,70,70,8.7,3
LB,Tim Squires,23,2016,80,71,70,70,70,70,8.7,3
LB,Deon Vashan,33,2004,80,71,70,70,70,70,8.7,3
LB,Paul Harold,25,2014,80,71,70,70,70,70,8.7,3
LB,Trayvon Arthur,29,2009,80,71,70,70,70,70,8.7,3
LB,Omari Cordell,25,2013,80,71,70,70,70,70,8.7,3
LB,Kendrick Jarvis,26,2012,80,71,70,70,70,70,8.7,3
LB,Shawnte Tim,25,2013,80,71,70,70,70,70,8.7,3
END_PLAYERS
North Carolina Tar Heels,UNC
QB,Damian Myers,28,2010,101,82,78,81,75,98,9.8,3
QB,Squires Thomas,25,2013,83,62,85,68,84,86,5.7,1
RB,Luther Bruce,29,2010,81,65,65,86,96,92,5.6,4
RB,Draymond Kaynard,25,2014,69,76,50,77,77,82,5.3,3
RB,Thor Damarco,29,2009,98,75,73,87,86,87,0.5,1
RB,Harold Donald,32,2006,50,73,51,63,55,63,0.5,1
WR,Manning Nate,28,2011,84,62,63,87,77,65,4.2,1
WR,Joseph Ronald,36,2002,121,98,76,86,89,88,3.0,1
WR,Raymond Alwan,31,2007,87,62,74,73,66,89,3.0,2
WR,Tran Richard,25,2014,78,63,90,63,84,86,3.5,3
WR,Tim Umar,31,2007,65,78,54,83,87,80,0.5,1
WR,Manning Jordan,28,2010,104,69,61,89,88,82,0.5,1
OL,Harold Dajon,36,2003,95,76,50,100,80,84,4.2,2
OL,Juan Spike,33,2005,91,77,78,89,65,69,3.1,1
OL,Odell Scott,26,2012,98,69,50,86,89,87,3.3,2
OL,Gerald Roy,31,2008,103,85,83,76,79,74,2.6,2
OL,Vashan Jack,29,2010,109,73,60,83,82,85,2.2,3
OL,Tyrell Darik,26,2013,66,61,58,80,58,64,2.2,2
OL,Tim Tim,33,2005,67,68,62,67,58,66,0.5,1
OL,Terry Matthew,27,2011,67,51,54,64,68,55,0.5,1
OL,Clifton Larry,29,2009,101,58,87,89,89,84,0.5,1
OL,Nate Gerald,22,2016,53,66,65,59,65,61,0.5,1
K,Reggie Robert,30,2009,81,53,86,83,82,83,1.8,1
K,Tyree Wayne,22,2016,75,59,99,86,80,89,0.5,1
S,Malik Charles,27,2010,63,60,82,87,82,85,3.5,2
S,Damarco Randall,29,2009,96,56,78,58,58,62,0.5,1
CB,Dick Perry,29,2010,82,68,59,91,83,71,4.4,3
CB,Kim Joe,33,2005,105,78,52,83,83,85,2.6,3
CB,Frank Alan,29,2008,73,58,57,82,95,87,2.4,1
CB,Squires Brady,22,2016,55,54,86,85,85,56,2.6,2
CB,Omari Peyton,26,2012,102,80,81,72,55,82,1.9,3
CB,Myers Kobe,33,2005,70,61,66,61,55,58,0.5,1
DL,Jason Charles,32,2005,78,59,55,99,88,66,6.4,2
DL,Marvin Jimmy,24,2014,74,52,79,87,88,86,2.9,3
DL,Scott Long,28,2009,84,71,80,69,80,80,2.4,1
DL,Adam Otis,30,2008,87,62,71,79,83,86,2.2,3
DL,Kim Talin,29,2010,63,72,88,89,80,81,1.9,2
DL,Peter Jordan,30,2008,66,65,58,82,84,85,0.5,1
DL,Wendell Thomas,24,2014,69,69,90,86,82,59,0.5,1
DL,Dick Ha-Ha,30,2008,68,76,52,64,62,57,0.5,1
LB,Charles Jahquil,32,2007,81,71,93,92,83,87,4.0,4
LB,Manning Dennis,27,2011,100,70,53,73,80,87,3.1,1
LB,Talin Tran,24,2013,96,61,50,70,81,72,2.4,3
LB,Myers Ryan,25,2013,81,74,57,65,87,80,2.4,2
LB,Tupac Tyronne,25,2013,93,60,75,86,82,85,0.5,1
LB,Jimmy Draymond,23,2015,61,76,84,67,67,59,0.5,1
LB,Mark Thomas,22,2016,80,56,68,69,57,59,0.5,1
LB,Jordan Patrick,22,2016,64,71,61,55,60,68,0.5,1
END_PLAYERS
NC State Wolfpack,NCST
QB,Larry Joshua,31,2006,92,81,88,85,75,102,10.4,4
QB,Spike Eli,27,2011,79,71,68,72,73,57,5.2,1
RB,Edward Dequain,34,2003,77,73,104,81,84,76,4.7,2
RB,Omarr Ralph,30,2009,51,61,50,81,67,84,4.4,1
RB,Lucius William,30,2007,75,69,78,90,73,67,4.2,1
RB,Malik Harold,31,2007,121,69,59,66,66,67,0.5,1
